circuit_id,circuit_name,circuit_locality,circuit_country,circuit_type,lap_length_km,altitude_m,downforce_score,speed_score,technical_score,overtaking_score,downforce_level,speed_profile,technical_level,overtaking_level,lap_length_bucket,altitude_bucket,metadata_confidence,lap_length_source,altitude_source,classification_source,notes
albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,hybrid,5.278,7,6,7,6,6,medium,balanced,medium,moderate,medium,low,medium,https://www.formula1.com/en/racing/2025/australia,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Parkland/semi-street circuit; medium-high speed after layout revisions.
americas,Circuit of the Americas,Austin,USA,permanent,5.513,150,6,7,8,7,medium,balanced,high,moderate,long,low,high,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with elevation change and mixed corner profiles.
bahrain,Bahrain International Circuit,Sakhir,Bahrain,permanent,5.412,7,5,7,6,8,medium,balanced,medium,easy,medium,low,high,https://www.formula1.com/en/racing/2025/bahrain,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with long straights heavy braking and strong overtaking zones.
baku,Baku City Circuit,Baku,Azerbaijan,street,6.003,-20,3,10,7,7,low,high_speed,medium,moderate,long,low,medium,https://www.formula1.com/en/racing/2025/azerbaijan,estimated from Baku coastal elevation references,analyst-coded estimate; not an official F1 numeric rating,Street circuit with very long full-throttle section and tight castle-sector constraints.
buddh,Buddh International Circuit,Uttar Pradesh,India,permanent,5.125,195,6,8,7,6,medium,high_speed,medium,moderate,medium,low,medium,https://en.wikipedia.org/wiki/Buddh_International_Circuit,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent Tilke circuit with long straights and technical multi-apex corners.
catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,permanent,4.657,109,8,6,8,4,high,balanced,high,moderate,medium,low,high,https://www.formula1.com/en/racing/2025/spain,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent benchmark circuit with aero-sensitive long corners.
hockenheimring,Hockenheimring,Hockenheim,Germany,permanent,4.574,103,5,7,5,7,medium,balanced,medium,moderate,medium,low,medium,https://en.wikipedia.org/wiki/Hockenheimring,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Permanent circuit with long acceleration zones and stadium-sector handling demands.
hungaroring,Hungaroring,Budapest,Hungary,permanent,4.381,264,9,3,8,3,high,low_speed,high,difficult,short,medium,high,https://www.formula1.com/en/racing/2025/hungary,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Tight twisty permanent circuit; traditionally high-downforce and difficult to overtake.
imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,permanent,4.909,37,7,7,8,4,medium,balanced,high,moderate,medium,low,medium,https://www.formula1.com/en/racing/2025/emilia-romagna,estimated from circuit/locality elevation references,analyst-coded estimate; not an official F1 numeric rating,Old-school permanent circuit with narrow sections kerbs and rhythm changes.
interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,permanent,4.309,800,6,7,8,7,medium,balanced,high,moderate,short,high,high,https://www.formula1.com/en/racing/2025/brazil,https://www.formula1.com/en/latest/article/watch-how-does-mexico-citys-high-altitude-affect-an-f1-car.2viU1hO6pXOPslHbNqjyim,analyst-coded estimate; not an official F1 numeric rating,Medium-altitude circuit with elevation change traction zones and long full-throttle run.
